,Inicio_Semana,Total de Chuvas(mm),Média diária de chuvas(mm),categoria,ponto_codigo,Categoria_Indexada
528,2017-10-29,67.2,9.599999564034599,Imprópria,Farol da Barra - SSA FB 200,1.0
529,2019-01-06,11.6,1.6571429116385323,Própria,Farol da Barra - SSA FB 200,0.0
530,2018-05-20,56.2,8.02857153756278,Própria,Farol da Barra - SSA FB 200,0.0
531,2020-02-02,3.8,0.5428571360451835,Própria,Farol da Barra - SSA FB 200,0.0
532,2018-08-05,3.6,0.5142857006617955,Própria,Farol da Barra - SSA FB 200,0.0
533,2019-10-13,2.0,0.2857142857142857,Imprópria,Farol da Barra - SSA FB 200,1.0
534,2019-02-24,0.0,0.0,Imprópria,Farol da Barra - SSA FB 200,1.0
535,2020-11-15,35.2,5.028571537562779,Imprópria,Farol da Barra - SSA FB 200,1.0
536,2018-10-14,1.0,0.14285714285714285,Própria,Farol da Barra - SSA FB 200,0.0
537,2017-11-19,3.0,0.42857142857142855,Imprópria,Farol da Barra - SSA FB 200,1.0
538,2018-04-01,3.6,0.5142857006617955,Imprópria,Farol da Barra - SSA FB 200,1.0
539,2018-11-18,1.6,0.22857143197740828,Imprópria,Farol da Barra - SSA FB 200,1.0
540,2021-01-17,10.2,1.4571428298950195,Própria,Farol da Barra - SSA FB 200,0.0
541,2017-09-03,78.4,11.200000217982701,Própria,Farol da Barra - SSA FB 200,0.0
542,2021-02-07,0.0,0.0,Imprópria,Farol da Barra - SSA FB 200,1.0
543,2017-06-04,24.8,3.5428570338657925,Imprópria,Farol da Barra - SSA FB 200,1.0
544,2019-05-05,139.0,19.857142857142858,Imprópria,Farol da Barra - SSA FB 200,1.0
545,2018-11-04,25.8,3.6857141767229353,Própria,Farol da Barra - SSA FB 200,0.0
546,2019-03-31,62.2,8.885714394705635,Imprópria,Farol da Barra - SSA FB 200,1.0
547,2019-06-23,16.0,2.2857142857142856,Imprópria,Farol da Barra - SSA FB 200,1.0
548,2018-11-25,35.2,5.028571537562779,Imprópria,Farol da Barra - SSA FB 200,1.0
549,2017-01-29,9.6,1.3714286259242467,Própria,Farol da Barra - SSA FB 200,0.0
550,2018-02-25,5.4,0.7714285850524902,Imprópria,Farol da Barra - SSA FB 200,1.0
551,2017-08-13,9.4,1.3428570883614677,Imprópria,Farol da Barra - SSA FB 200,1.0
552,2018-01-07,28.6,4.085714340209961,Própria,Farol da Barra - SSA FB 200,0.0
553,2022-07-31,19.4,2.7714285169328963,Própria,Farol da Barra - SSA FB 200,0.0
554,2022-12-25,13.0,1.8571428571428572,Própria,Farol da Barra - SSA FB 200,0.0
555,2022-04-10,39.2,5.600000108991351,Indisponível,Farol da Barra - SSA FB 200,2.0
556,2023-03-12,57.6,8.228571210588727,Própria,Farol da Barra - SSA FB 200,0.0
557,2022-05-01,18.4,2.6285713740757535,Própria,Farol da Barra - SSA FB 200,0.0
558,2022-11-20,66.2,9.457142421177455,Imprópria,Farol da Barra - SSA FB 200,1.0
559,2021-04-25,41.2,5.885714394705636,Indisponível,Farol da Barra - SSA FB 200,2.0
560,2021-03-07,0.0,0.0,Indisponível,Farol da Barra - SSA FB 200,2.0
561,2021-09-05,0.2,0.028571428997176036,Própria,Farol da Barra - SSA FB 200,0.0
562,2022-01-09,2.2,0.31428572109767366,Própria,Farol da Barra - SSA FB 200,0.0
563,2022-12-11,0.0,0.0,Imprópria,Farol da Barra - SSA FB 200,1.0
564,2021-07-11,56.2,8.02857153756278,Própria,Farol da Barra - SSA FB 200,0.0
565,2022-06-05,26.8,3.828571319580078,Própria,Farol da Barra - SSA FB 200,0.0
566,2021-06-20,46.0,6.571428571428571,Própria,Farol da Barra - SSA FB 200,0.0
567,2021-06-27,39.8,5.685714176722935,Própria,Farol da Barra - SSA FB 200,0.0
568,2022-08-07,14.0,2.0,Própria,Farol da Barra - SSA FB 200,0.0
569,2021-09-26,14.0,2.0,Própria,Farol da Barra - SSA FB 200,0.0
570,2022-06-19,23.2,3.3142858232770647,Própria,Farol da Barra - SSA FB 200,0.0
571,2022-07-24,33.2,4.742857251848493,Imprópria,Farol da Barra - SSA FB 200,1.0
572,2022-01-23,9.2,1.3142856870378767,Própria,Farol da Barra - SSA FB 200,0.0
573,2022-08-14,14.6,2.085714340209961,Própria,Farol da Barra - SSA FB 200,0.0
574,2021-05-09,37.2,5.314285823277065,Própria,Farol da Barra - SSA FB 200,0.0
575,2022-07-10,28.2,4.028571537562779,Própria,Farol da Barra - SSA FB 200,0.0
576,2022-01-16,13.8,1.971428598676409,Própria,Farol da Barra - SSA FB 200,0.0
577,2021-02-21,5.0,0.7142857142857143,Própria,Farol da Barra - SSA FB 200,0.0
578,2021-06-13,9.0,1.2857142857142858,Própria,Farol da Barra - SSA FB 200,0.0
579,2023-04-09,12.8,1.8285714558192663,Imprópria,Farol da Barra - SSA FB 200,1.0
580,2021-08-01,108.8,15.542857578822545,Própria,Farol da Barra - SSA FB 200,0.0
581,2021-03-21,3.6,0.5142857006617955,Indisponível,Farol da Barra - SSA FB 200,2.0
582,2022-12-04,11.6,1.6571429116385323,Própria,Farol da Barra - SSA FB 200,0.0
583,2021-05-16,7.8,1.1142857415335519,Própria,Farol da Barra - SSA FB 200,0.0
584,2022-10-23,44.8,6.399999891008649,Própria,Farol da Barra - SSA FB 200,0.0
585,2021-03-14,19.2,2.7428572518484935,Indisponível,Farol da Barra - SSA FB 200,2.0
586,2022-02-06,8.4,1.1999999455043249,Própria,Farol da Barra - SSA FB 200,0.0
587,2021-07-18,53.4,7.628571646554129,Própria,Farol da Barra - SSA FB 200,0.0
588,2023-04-02,66.4,9.485714503696986,Imprópria,Farol da Barra - SSA FB 200,1.0
